DIP-6621N YML010W 
DIP-6620N YKR067W 
DIP-6619N YER003C 
DIP-6618N YPR069C 
DIP-6617N YGL004C 
DIP-6616N YEL024W 
DIP-6615N YFR001W 
DIP-6614N YAL015C 
DIP-6613N YDR517W 
DIP-6612N YBR247C 
DIP-6611N YPR167C 
DIP-6610N YKL212W 
DIP-6609N YFR030W 
DIP-6608N YBL036C 
DIP-6607N YDL124W 
DIP-6606N YHR051W 
DIP-6605N YGR256W 
DIP-6604N YHR183W 
DIP-6603N YOR304W 
DIP-6602N YKR081C 
DIP-6601N YBR245C 
DIP-6600N YBL108W 
DIP-6599N YER142C 
DIP-6598N YDR523C 
DIP-6597N YGL210W 
DIP-6596N YBR082C 
DIP-6595N YAL027W 
DIP-6594N YDR177W 
DIP-6593N YLR024C 
DIP-6592N YGL205W 
DIP-6591N YJL156C 
DIP-6590N YHR020W 
DIP-658N YPR119W 
DIP-6589N YML072C 
DIP-6588N YNL132W 
DIP-6587N YPL127C 
DIP-6586N YOR323C 
DIP-6585N YGR266W 
DIP-6584N YBR078W 
DIP-6583N YMR022W 
DIP-6582N YHL039W 
DIP-6581N YHL038C 
DIP-6580N YER155C 
DIP-6579N YDR496C 
DIP-6578N YML074C 
DIP-6577N YNL248C 
DIP-6576N YEL021W 
DIP-6575N YGR150C 
DIP-6574N YKL062W 
DIP-6573N YKL216W 
DIP-6572N YGL017W 
DIP-6571N YCL042W 
DIP-6570N YPL009C 
DIP-656N YGL173C 
DIP-6569N YKL099C 
DIP-6567N YLR320W 
DIP-6566N YIR001C 
DIP-6565N YER015W 
DIP-6564N YML020W 
DIP-6563N YHL030W 
DIP-6562N YPL217C 
DIP-6561N YPL037C 
DIP-655N YER013W 
DIP-6559N YPR073C 
DIP-6558N YKL215C 
DIP-6557N YGR270W 
DIP-6556N YPL135W 
DIP-6555N YER002W 
DIP-6554N YGL117W 
DIP-6553N YOL103W 
DIP-6552N YJL207C 
DIP-6551N YER098W 
DIP-6550N YMR196W 
DIP-6549N YMR266W 
DIP-6548N YBL015W 
DIP-6547N YOR227W 
DIP-6546N YBR276C 
DIP-6545N YNL063W 
DIP-6544N YIL037C 
DIP-6543N YLR152C 
DIP-6542N YOR142W 
DIP-6541N YEL030W 
DIP-6540N YGL131C 
DIP-6539N YFL053W 
DIP-6538N YKL214C 
DIP-6537N YPR137W 
DIP-6536N YER182W 
DIP-6535N YMR229C 
DIP-6534N YML078W 
DIP-6533N YHR065C 
DIP-6532N YDR247W 
DIP-6531N YPL046C 
DIP-6530N YNL085W 
DIP-6529N YNL014W 
DIP-6528N YMR145C 
DIP-6526N YBR121C 
DIP-6525N YLR187W 
DIP-6524N YBL088C 
DIP-6523N YKL218C 
DIP-6522N YCR053W 
DIP-6521N YAL025C 
DIP-6520N YKL073W 
DIP-651N YDL030W 
DIP-6519N YLL040C 
DIP-6518N YLR231C 
DIP-6517N YDR143C 
DIP-6516N YKL021C 
DIP-6515N YKL206C 
DIP-6514N YDR240C 
DIP-6513N YGR279C 
DIP-6512N YOR283W 
DIP-6511N YHR088W 
DIP-6510N YGR002C 
DIP-6509N YDR036C 
DIP-6508N YFL034W 
DIP-6507N YKL172W 
DIP-6506N YHR046C 
DIP-6505N YOL041C 
DIP-6504N YLR186W 
DIP-6502N YDR312W 
DIP-6501N YHR066W 
DIP-6500N YDR419W 
DIP-64N YHR084W 
DIP-6499N YMR105C 
DIP-6498N YOR144C 
DIP-6497N YPL012W 
DIP-6496N YOR080W 
DIP-6495N YDR239C 
DIP-6494N YLR129W 
DIP-6492N YFR044C 
DIP-6491N YHR052W 
DIP-6490N YDL171C 
DIP-6489N YNL278W 
DIP-6488N YNL061W 
DIP-6487N YPR015C 
DIP-6486N YDR137W 
DIP-6485N YBR150C 
DIP-6484N YOR272W 
DIP-6483N YDL025C 
DIP-6482N YMR218C 
DIP-6481N YOL054W 
DIP-6480N YDR424C 
DIP-6479N YDR449C 
DIP-6478N YJR062C 
DIP-6477N YHL035C 
DIP-6476N YNL002C 
DIP-6475N YHR208W 
DIP-6474N YLL048C 
DIP-6473N YDL078C 
DIP-6472N YER091C 
DIP-6471N YLL008W 
DIP-6470N YPL055C 
DIP-6469N YGL121C 
DIP-6468N YGL137W 
DIP-6467N YDR238C 
DIP-6466N YJL109C 
DIP-6465N YMR116C 
DIP-6464N YDR432W 
DIP-6463N YLR355C 
DIP-6462N YNL213C 
DIP-6461N YDR407C 
DIP-6460N YCR091W 
DIP-6459N YBL091C 
DIP-6458N YML056C 
DIP-6457N YMR135C 
DIP-6456N YJR016C 
DIP-6455N YAR073W 
DIP-6454N YOR267C 
DIP-6453N YNL055C 
DIP-6452N YJL122W 
DIP-6451N YPL262W 
DIP-6450N YER041W 
DIP-6449N YDR293C 
DIP-6448N YLR271W 
DIP-6447N YPR124W 
DIP-6446N YKR046C 
DIP-6445N YAL003W 
DIP-6444N YDL051W 
DIP-6443N YLL029W 
DIP-6442N YLL022C 
DIP-6441N YPR121W 
DIP-6440N YOR056C 
DIP-6439N YOR090C 
DIP-6438N YDR310C 
DIP-6437N YBR125C 
DIP-6436N YDR324C 
DIP-6435N YOR125C 
DIP-6434N YPR067W 
DIP-6433N YHR120W 
DIP-6432N YPR143W 
DIP-6431N YDR316W 
DIP-6430N YOL045W 
DIP-6429N YMR100W 
DIP-6428N YGL068W 
DIP-6427N YNR047W 
DIP-6426N YBR218C 
DIP-6425N YGL062W 
DIP-6424N YKL078W 
DIP-6423N YML029W 
DIP-6422N YBR227C 
DIP-6421N YKR038C 
DIP-6420N YML036W 
DIP-6418N YEL071W 
DIP-6417N YNR054C 
DIP-6416N YLR409C 
DIP-6415N YGL111W 
DIP-6414N YJR029W 
DIP-6413N YNL181W 
DIP-6412N YBL064C 
DIP-6411N YKR051W 
DIP-6410N YML093W 
DIP-6409N YGL081W 
DIP-6408N YFL014W 
DIP-6407N YLR369W 
DIP-6406N YER167W 
DIP-6405N YLR422W 
DIP-6404N YJL149W 
DIP-6403N YNR008W 
DIP-6402N YCL030C 
DIP-6401N YDR188W 
DIP-6400N YJL014W 
DIP-6399N YJL165C 
DIP-6398N YKR063C 
DIP-6397N YDR198C 
DIP-6396N YPL028W 
DIP-6395N YJR028W 
DIP-6394N YJL050W 
DIP-6393N YDL022W 
DIP-6392N YJL069C 
DIP-6391N YOL087C 
DIP-6390N YGR202C 
DIP-6389N YLR167W 
DIP-6388N YBL076C 
DIP-6387N YDL031W 
DIP-6386N YKL081W 
DIP-6385N YLL034C 
DIP-6384N YLR300W 
DIP-6383N YGL216W 
DIP-6382N YBR225W 
DIP-6381N YGL197W 
DIP-6380N YMR028W 
DIP-6379N YPR189W 
DIP-6378N YGL023C 
DIP-6377N YBL003C 
DIP-6376N YOL081W 
DIP-6375N YLR109W 
DIP-6374N YBR049C 
DIP-6373N YLR247C 
DIP-6372N YNL035C 
DIP-6371N YGL146C 
DIP-6370N YMR241W 
DIP-6369N YHR076W 
DIP-6368N YOL033W 
DIP-6367N YJR027W 
DIP-6366N YPL247C 
DIP-6365N YPL160W 
DIP-6364N YLR138W 
DIP-6363N YHR001W 
DIP-6362N YER164W 
DIP-6361N YER030W 
DIP-6360N YPL166W 
DIP-6359N YDR037W 
DIP-6357N YOL078W 
DIP-6356N YNL038W 
DIP-6355N YDR436W 
DIP-6354N YKL054C 
DIP-6353N YDR219C 
DIP-6352N YGL227W 
DIP-6351N YPR034W 
DIP-6350N YGR198W 
DIP-6349N YGL141W 
DIP-6348N YJR041C 
DIP-6347N YBR267W 
DIP-6346N YMR086W 
DIP-6345N YIL093C 
DIP-6344N YFL007W 
DIP-6343N YMR029C 
DIP-6342N YOR120W 
DIP-6341N YGR282C 
DIP-6340N YOR367W 
DIP-6339N YPL104W 
DIP-6338N YPL171C 
DIP-6337N YBR142W 
